zone,w_from,w_to,price
1,0.0,30.0,31.7
1,30.0,50.0,31.7
1,50.0,75.0,31.7
1,75.0,100.0,31.7
1,100.0,150.0,31.7
1,150.0,200.0,32.37
1,200.0,250.0,36.39
1,250.0,300.0,41.14
1,300.0,350.0,44.6
1,350.0,400.0,49.64
1,400.0,450.0,54.2
1,450.0,500.0,59.29
1,500.0,600.0,66.63
1,600.0,700.0,71.37
1,700.0,800.0,75.57
1,800.0,900.0,80.99
1,900.0,1000.0,85.13
1,1000.0,1100.0,92.24
1,1100.0,1200.0,97.36
1,1200.0,1300.0,103.97
1,1300.0,1400.0,109.26
1,1400.0,1500.0,113.44
1,1500.0,1600.0,117.62
1,1600.0,1700.0,133.8
1,1700.0,1800.0,135.75
1,1800.0,1900.0,146.76
1,1900.0,2000.0,148.07
1,2000.0,2100.0,154.13
1,2100.0,2200.0,157.77
1,2200.0,2300.0,161.78
1,2300.0,2400.0,166.37
1,2400.0,2500.0,170.96
1,2500.0,3000.0,189.96
1,3000.0,3500.0,201.48
1,3500.0,4000.0,223.85
1,4000.0,4500.0,245.69
2,0.0,30.0,31.7
2,30.0,50.0,31.7
2,50.0,75.0,31.7
2,75.0,100.0,31.7
2,100.0,150.0,31.7
2,150.0,200.0,35.75
2,200.0,250.0,38.7
2,250.0,300.0,43.7
2,300.0,350.0,46.44
2,350.0,400.0,50.57
2,400.0,450.0,56.69
2,450.0,500.0,62.45
2,500.0,600.0,69.2
2,600.0,700.0,73.5
2,700.0,800.0,77.95
2,800.0,900.0,82.81
2,900.0,1000.0,87.21
2,1000.0,1100.0,98.03
2,1100.0,1200.0,103.97
2,1200.0,1300.0,108.28
2,1300.0,1400.0,114.52
2,1400.0,1500.0,118.47
2,1500.0,1600.0,122.42
2,1600.0,1700.0,134.93
2,1700.0,1800.0,138.61
2,1800.0,1900.0,146.59
2,1900.0,2000.0,148.47
2,2000.0,2100.0,159.17
2,2100.0,2200.0,167.83
2,2200.0,2300.0,172.66
2,2300.0,2400.0,176.53
2,2400.0,2500.0,179.9
2,2500.0,3000.0,199.88
2,3000.0,3500.0,212.01
2,3500.0,4000.0,235.55
2,4000.0,4500.0,258.53
3,0.0,30.0,31.7
3,30.0,50.0,31.7
3,50.0,75.0,31.7
3,75.0,100.0,31.7
3,100.0,150.0,32.01
3,150.0,200.0,38.17
3,200.0,250.0,40.82
3,250.0,300.0,46.9
3,300.0,350.0,49.53
3,350.0,400.0,53.58
3,400.0,450.0,60.5
3,450.0,500.0,66.91
3,500.0,600.0,73.95
3,600.0,700.0,78.97
3,700.0,800.0,83.64
3,800.0,900.0,89.2
3,900.0,1000.0,93.96
3,1000.0,1100.0,107.61
3,1100.0,1200.0,114.81
3,1200.0,1300.0,118.72
3,1300.0,1400.0,125.19
3,1400.0,1500.0,128.53
3,1500.0,1600.0,132.77
3,1600.0,1700.0,150.82
3,1700.0,1800.0,154.35
3,1800.0,1900.0,163.01
3,1900.0,2000.0,163.8
3,2000.0,2100.0,178.47
3,2100.0,2200.0,189.5
3,2200.0,2300.0,194.79
3,2300.0,2400.0,198.32
3,2400.0,2500.0,201.03
3,2500.0,3000.0,223.38
3,3000.0,3500.0,236.91
3,3500.0,4000.0,263.24
3,4000.0,4500.0,288.93
4,0.0,30.0,31.7
4,30.0,50.0,31.7
4,50.0,75.0,31.7
4,75.0,100.0,31.7
4,100.0,150.0,33.02
4,150.0,200.0,39.25
4,200.0,250.0,41.95
4,250.0,300.0,47.09
4,300.0,350.0,49.88
4,350.0,400.0,53.96
4,400.0,450.0,60.29
4,450.0,500.0,66.07
4,500.0,600.0,73.63
4,600.0,700.0,78.38
4,700.0,800.0,83.45
4,800.0,900.0,88.52
4,900.0,1000.0,93.83
4,1000.0,1100.0,107.53
4,1100.0,1200.0,115.69
4,1200.0,1300.0,119.53
4,1300.0,1400.0,126.24
4,1400.0,1500.0,127.73
4,1500.0,1600.0,134.4
4,1600.0,1700.0,149.19
4,1700.0,1800.0,153.09
4,1800.0,1900.0,161.75
4,1900.0,2000.0,162.55
4,2000.0,2100.0,174.28
4,2100.0,2200.0,186.65
4,2200.0,2300.0,192.49
4,2300.0,2400.0,196.16
4,2400.0,2500.0,198.88
4,2500.0,3000.0,220.97
4,3000.0,3500.0,234.36
4,3500.0,4000.0,260.42
4,4000.0,4500.0,285.82
5,0.0,30.0,31.7
5,30.0,50.0,31.7
5,50.0,75.0,31.7
5,75.0,100.0,33.58
5,100.0,150.0,37.19
5,150.0,200.0,40.8
