country_code	zone	w_from	w_to	price
AT	1	0	30	42.26
AT	1	30	50	43.88
AT	1	50	75	47.91
AT	1	75	100	51.94
AT	1	100	150	62.13
AT	1	150	200	66.1
AT	1	200	250	75.68
AT	1	250	300	81.68
AT	1	300	350	90.77
AT	1	350	400	95.15
AT	1	400	450	104.41
AT	1	450	500	110.76
AT	1	500	600	122.04
AT	1	600	700	137.38
AT	1	700	800	147.5
AT	1	800	900	160.3
AT	1	900	1000	173.02
AT	1	1000	1100	185.63
AT	1	1100	1200	195.48
AT	1	1200	1300	207.92
AT	1	1300	1400	221.49
AT	1	1400	1500	236.64
AT	1	1500	1600	249.41
AT	1	1600	1700	264.96
AT	1	1700	1800	281.6
AT	1	1800	1900	298.42
AT	1	1900	2000	309.47
AT	1	2000	2100	323.99
AT	1	2100	2200	338.45
AT	1	2200	2300	353.05
AT	1	2300	2400	364.08
AT	1	2400	2500	378.86
AT	2	0	30	42.26
AT	2	30	50	45.72
AT	2	50	75	49.77
AT	2	75	100	53.83
AT	2	100	150	64.42
AT	2	150	200	68.38
AT	2	200	250	78.27
AT	2	250	300	84.26
AT	2	300	350	93.62
AT	2	350	400	98.02
AT	2	400	450	107.61
AT	2	450	500	113.97
AT	2	500	600	125.57
AT	2	600	700	141.25
AT	2	700	800	151.69
AT	2	800	900	164.79
AT	2	900	1000	177.82
AT	2	1000	1100	190.7
AT	2	1100	1200	200.83
AT	2	1200	1300	213.54
AT	2	1300	1400	227.68
AT	2	1400	1500	243.48
AT	2	1500	1600	256.89
AT	2	1600	1700	273.13
AT	2	1700	1800	290.46
AT	2	1800	1900	308.04
AT	2	1900	2000	319.5
AT	2	2000	2100	334.46
AT	2	2100	2200	349.35
AT	2	2200	2300	364.37
AT	2	2300	2400	375.83
AT	2	2400	2500	391.02
AT	3	0	30	43.02
AT	3	30	50	48.96
AT	3	50	75	54.9
AT	3	75	100	60.84
AT	3	100	150	71.55
AT	3	150	200	75.41
AT	3	200	250	85.17
AT	3	250	300	91.42
AT	3	300	350	100.78
AT	3	350	400	105.44
AT	3	400	450	115.41
AT	3	450	500	122.03
AT	3	500	600	132.64
AT	3	600	700	147.92
AT	3	700	800	158.01
AT	3	800	900	170.75
AT	3	900	1000	183.46
AT	3	1000	1100	196
AT	3	1100	1200	205.82
AT	3	1200	1300	218.21
AT	3	1300	1400	231.78
AT	3	1400	1500	246.88
AT	3	1500	1600	259.6
AT	3	1600	1700	275.08
AT	3	1700	1800	291.67
