country_code	plz	zone
AT	10	1
AT	11	1
AT	12	1
AT	13	1
AT	20	5
AT	21	4
AT	22	4
AT	23	2
AT	24	4
AT	25	3
AT	26	5
AT	27	4
AT	28	5
AT	30	3
AT	31	4
AT	32	6
AT	33	5
AT	34	3
AT	35	6
AT	36	6
AT	37	5
AT	38	6
AT	39	6
AT	40	1
AT	41	1
AT	42	2
AT	43	4
AT	44	2
AT	45	1
AT	46	1
AT	47	1
AT	48	1
AT	49	2
AT	50	3
AT	51	3
AT	52	4
AT	53	3
AT	54	3
AT	55	6
AT	56	5
AT	57	5
AT	60	3
AT	61	4
AT	62	5
AT	63	5
AT	64	4
AT	65	7
AT	66	7
AT	67	4
AT	68	4
AT	69	4
AT	70	4
AT	71	4
AT	72	4
AT	73	6
AT	74	6
AT	75	6
AT	80	4
AT	81	4
AT	82	4
AT	83	4
AT	84	4
AT	85	4
AT	86	5
AT	87	5
AT	88	6
AT	89	6
AT	90	6
AT	91	6
AT	92	7
AT	93	6
AT	94	4
AT	95	7
AT	96	7
AT	97	7
AT	98	7
AT	99	6
BE	10	1
BE	11	1
BE	12	1
BE	13	1
BE	14	1
BE	15	1
BE	16	1
BE	17	1
BE	18	1
BE	19	1
BE	20	1
BE	21	1
BE	22	1
BE	23	1
BE	24	1
BE	25	1
BE	26	1
BE	28	1
BE	29	1
BE	30	1
BE	31	1
BE	32	1
BE	33	1
BE	34	1
BE	35	1
BE	36	1
BE	37	1
BE	38	1
BE	39	1
BE	40	1
BE	41	1
BE	42	1
BE	43	1
BE	44	1
BE	45	1
BE	46	1
BE	47	1
BE	48	1
BE	49	1
BE	50	3
BE	51	3
BE	53	3
BE	55	3
BE	56	3
BE	60	4
BE	61	4
BE	62	4
BE	64	4
BE	65	4
BE	66	4
BE	67	4
BE	68	4
BE	69	4
BE	70	4
BE	71	4
BE	73	4
BE	75	4
BE	76	4
BE	77	4
BE	78	4
BE	79	4
BE	80	4
BE	82	4
BE	83	4
BE	84	4
BE	85	4
BE	86	4
BE	87	4
BE	88	4
BE	89	4
BE	90	2
BE	91	2
BE	92	2
BE	93	2
BE	94	2
BE	95	2
BE	96	2
BE	97	2
BE	98	2
BE	99	2
BG	10	1
BG	11	1
BG	12	1
BG	13	1
BG	14	1
