scope	country	zone	w_from	w_to	price
DE	Deutschland	1	0.01	30	26.51
DE	Deutschland	1	1	2	3
DE	Deutschland	1	30.01	50	27.78
DE	Deutschland	1	50.01	100	29.63
DE	Deutschland	1	100.01	150	32.06
DE	Deutschland	1	150.01	200	37.7
DE	Deutschland	1	200.01	300	50.99
DE	Deutschland	1	300.01	400	52.06
DE	Deutschland	1	400.01	500	53.17
DE	Deutschland	1	500.01	600	56.43
DE	Deutschland	1	600.01	700	61.98
DE	Deutschland	1	700.01	800	67.67
DE	Deutschland	1	800.01	900	73.22
DE	Deutschland	1	900.01	1000	78.52
DE	Deutschland	1	1000.01	1100	82.22
DE	Deutschland	1	1100.01	1200	86.99
DE	Deutschland	1	1200.01	1300	92.05
DE	Deutschland	1	1300.01	1400	96.91
DE	Deutschland	1	1400.01	1500	100.41
DE	Deutschland	1	1500.01	1600	105.91
DE	Deutschland	1	1600.01	1700	109.37
DE	Deutschland	1	1700.01	1800	114.42
DE	Deutschland	1	1800.01	1900	117.83
DE	Deutschland	1	1900.01	2000	122.94
DE	Deutschland	1	2000.01	2100	127.71
DE	Deutschland	1	2100.01	2200	131.79
DE	Deutschland	1	2200.01	2300	136.46
DE	Deutschland	1	2300.01	2400	141.52
DE	Deutschland	1	2400.01	2500	144.88
DE	Deutschland	1	2500.01	3000	170.03
DE	Deutschland	1	3000.01	3500	187.59
DE	Deutschland	1	3500.01	4000	211.24
DE	Deutschland	1	4000.01	4500	234.78
DE	Deutschland	1	4500.01	5000	252.64
DE	Deutschland	2	0.01	30	29.92
DE	Deutschland	2	1	2	4
DE	Deutschland	2	30.01	50	31.48
DE	Deutschland	2	50.01	100	33.96
DE	Deutschland	2	100.01	150	37.12
DE	Deutschland	2	150.01	200	44.27
DE	Deutschland	2	200.01	300	58.67
DE	Deutschland	2	300.01	400	59.89
DE	Deutschland	2	400.01	500	60.62
DE	Deutschland	2	500.01	600	65.82
DE	Deutschland	2	600.01	700	72.49
DE	Deutschland	2	700.01	800	79.35
DE	Deutschland	2	800.01	900	85.96
DE	Deutschland	2	900.01	1000	92.29
DE	Deutschland	2	1000.01	1100	97.11
DE	Deutschland	2	1100.01	1200	103.14
DE	Deutschland	2	1200.01	1300	109.56
DE	Deutschland	2	1300.01	1400	115.5
DE	Deutschland	2	1400.01	1500	120.07
DE	Deutschland	2	1500.01	1600	126.78
DE	Deutschland	2	1600.01	1700	131.31
DE	Deutschland	2	1700.01	1800	137.39
DE	Deutschland	2	1800.01	1900	141.91
DE	Deutschland	2	1900.01	2000	148.14
DE	Deutschland	2	2000.01	2100	154.42
DE	Deutschland	2	2100.01	2200	159.72
DE	Deutschland	2	2200.01	2300	165.65
DE	Deutschland	2	2300.01	2400	171.93
DE	Deutschland	2	2400.01	2500	176.36
DE	Deutschland	2	2500.01	3000	206.28
DE	Deutschland	2	3000.01	3500	229.09
DE	Deutschland	2	3500.01	4000	258.67
DE	Deutschland	2	4000.01	4500	288.15
DE	Deutschland	2	4500.01	5000	310.73
DE	Deutschland	3	0.01	30	30.21
DE	Deutschland	3	1	2	5
DE	Deutschland	3	30.01	50	31.77
DE	Deutschland	3	50.01	100	34.25
DE	Deutschland	3	100.01	150	37.46
DE	Deutschland	3	150.01	200	44.66
DE	Deutschland	3	200.01	300	59.45
DE	Deutschland	3	300.01	400	60.67
DE	Deutschland	3	400.01	500	61.15
DE	Deutschland	3	500.01	600	67.82
DE	Deutschland	3	600.01	700	75.7
DE	Deutschland	3	700.01	800	83.73
DE	Deutschland	3	800.01	900	91.56
DE	Deutschland	3	900.01	1000	98.91
DE	Deutschland	3	1000.01	1100	105.04
DE	Deutschland	3	1100.01	1200	112.09
DE	Deutschland	3	1200.01	1300	119.48
DE	Deutschland	3	1300.01	1400	126.44
DE	Deutschland	3	1400.01	1500	132.28
DE	Deutschland	3	1500.01	1600	140.11
DE	Deutschland	3	1600.01	1700	145.9
DE	Deutschland	3	1700.01	1800	153
DE	Deutschland	3	1800.01	1900	158.84
DE	Deutschland	3	1900.01	2000	166.19
DE	Deutschland	3	2000.01	2100	173.24
DE	Deutschland	3	2100.01	2200	179.37
DE	Deutschland	3	2200.01	2300	186.28
DE	Deutschland	3	2300.01	2400	193.63
DE	Deutschland	3	2400.01	2500	199.32
DE	Deutschland	3	2500.01	3000	232.84
DE	Deutschland	3	3000.01	3500	262.03
DE	Deutschland	3	3500.01	4000	296.96
DE	Deutschland	3	4000.01	4500	331.79
DE	Deutschland	3	4500.01	5000	358.21
DE	Deutschland	4	0.01	30	31.09
DE	Deutschland	4	1	2	6
DE	Deutschland	4	30.01	50	33.03
DE	Deutschland	4	50.01	100	35.95
DE	Deutschland	4	100.01	150	39.8
DE	Deutschland	4	150.01	200	47.92
DE	Deutschland	4	200.01	300	64.95
DE	Deutschland	4	300.01	400	66.31
DE	Deutschland	4	400.01	500	66.75
DE	Deutschland	4	500.01	600	74.14
DE	Deutschland	4	600.01	700	82.41
DE	Deutschland	4	700.01	800	90.83
DE	Deutschland	4	800.01	900	99
DE	Deutschland	4	900.01	1000	106.79
DE	Deutschland	4	1000.01	1100	113.16
