scope,country,plz,zone
DE,Deutschland,01,6
DE,Deutschland,02,7
DE,Deutschland,03,6
DE,Deutschland,04,5
DE,Deutschland,06,4
DE,Deutschland,07,6
DE,Deutschland,08,6
DE,Deutschland,09,6
DE,Deutschland,10,5
DE,Deutschland,12,5
DE,Deutschland,13,5
DE,Deutschland,14,5
DE,Deutschland,15,6
DE,Deutschland,16,6
DE,Deutschland,17,7
DE,Deutschland,18,6
DE,Deutschland,19,5
DE,Deutschland,20,3
DE,Deutschland,21,3
DE,Deutschland,22,3
DE,Deutschland,23,4
DE,Deutschland,24,5
DE,Deutschland,25,5
DE,Deutschland,26,4
DE,Deutschland,27,3
DE,Deutschland,28,3
DE,Deutschland,29,2
DE,Deutschland,30,1
DE,Deutschland,31,1
DE,Deutschland,32,2
DE,Deutschland,33,3
DE,Deutschland,34,3
DE,Deutschland,35,5
DE,Deutschland,36,4
DE,Deutschland,37,2
DE,Deutschland,38,2
DE,Deutschland,39,3
DE,Deutschland,40,5
DE,Deutschland,41,6
DE,Deutschland,42,5
DE,Deutschland,44,4
DE,Deutschland,45,5
DE,Deutschland,46,5
DE,Deutschland,47,6
DE,Deutschland,48,4
DE,Deutschland,49,4
DE,Deutschland,50,6
DE,Deutschland,51,6
DE,Deutschland,52,6
DE,Deutschland,53,6
DE,Deutschland,54,8
DE,Deutschland,55,7
DE,Deutschland,56,6
DE,Deutschland,57,6
DE,Deutschland,58,5
DE,Deutschland,59,4
DE,Deutschland,60,6
DE,Deutschland,61,6
DE,Deutschland,63,6
DE,Deutschland,64,6
DE,Deutschland,65,6
DE,Deutschland,66,8
DE,Deutschland,67,7
DE,Deutschland,68,7
DE,Deutschland,69,7
DE,Deutschland,70,8
DE,Deutschland,71,8
DE,Deutschland,72,9
DE,Deutschland,73,8
DE,Deutschland,74,7
DE,Deutschland,75,8
DE,Deutschland,76,8
DE,Deutschland,77,9
DE,Deutschland,78,10
DE,Deutschland,79,10
DE,Deutschland,80,10
DE,Deutschland,81,10
DE,Deutschland,84,10
DE,Deutschland,85,9
DE,Deutschland,86,9
DE,Deutschland,87,10
DE,Deutschland,88,10
DE,Deutschland,89,8
DE,Deutschland,90,7
DE,Deutschland,91,7
DE,Deutschland,92,8
DE,Deutschland,93,9
DE,Deutschland,94,10
DE,Deutschland,95,7
DE,Deutschland,96,6
DE,Deutschland,97,6
DE,Deutschland,98,5
DE,Deutschland,99,4
EU,Belgien,00,10
EU,Belgien,20,1
EU,Belgien,21,1
EU,Belgien,22,1
EU,Belgien,23,1
EU,Belgien,24,1
EU,Belgien,25,1
EU,Belgien,26,1
EU,Belgien,27,1
EU,Belgien,28,1
EU,Belgien,29,1
EU,Belgien,30,1
EU,Belgien,31,1
EU,Belgien,32,1
EU,Belgien,33,1
EU,Belgien,34,1
EU,Belgien,35,1
EU,Belgien,36,1
EU,Belgien,37,1
EU,Belgien,38,1
EU,Belgien,39,1
EU,Belgien,40,1
EU,Belgien,41,1
EU,Belgien,42,1
EU,Belgien,44,1
EU,Belgien,45,1
EU,Belgien,46,1
EU,Belgien,47,1
EU,Belgien,48,1
EU,Belgien,49,1
EU,Belgien,50,2
EU,Belgien,51,2
EU,Belgien,52,2
EU,Belgien,53,2
EU,Belgien,55,2
EU,Belgien,56,2
EU,Belgien,60,2
EU,Belgien,61,2
EU,Belgien,63,2
EU,Belgien,64,2
EU,Belgien,66,2
EU,Belgien,67,2
EU,Belgien,70,2
EU,Belgien,71,2
EU,Belgien,73,2
EU,Belgien,75,2
EU,Belgien,76,2
EU,Belgien,77,2
EU,Belgien,78,2
EU,Belgien,80,2
EU,Belgien,83,2
EU,Belgien,85,2
EU,Belgien,86,2
EU,Belgien,87,2
EU,Belgien,88,2
EU,Belgien,89,2
EU,Belgien,90,1
EU,Belgien,92,1
EU,Belgien,93,1
EU,Belgien,94,1
EU,Belgien,95,1
EU,Belgien,96,1
EU,Belgien,97,1
EU,Belgien,98,1
EU,Belgien,99,1
EU,Bulgarien,00,10
EU,Bulgarien,20,1
EU,Bulgarien,21,1
EU,Bulgarien,22,1
EU,Bulgarien,23,1
EU,Bulgarien,24,1
EU,Bulgarien,25,1
EU,Bulgarien,26,1
EU,Bulgarien,27,2
EU,Bulgarien,28,2
EU,Bulgarien,29,2
EU,Bulgarien,30,2
EU,Bulgarien,31,1
